Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Shanthamallappa M.,"Shanthamallappa, Mahadevaswamy (57193573397)",57193573397,Robust Speech Enhancement Using Dabauchies Wavelet Based Adaptive Wavelet Thresholding for the Development of Robust Automatic Speech Recognition: A Comprehensive Review,2024,Wireless Personal Communications,137,4,,2085,2119,34,2,10.1007/s11277-024-11448-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200567669&doi=10.1007%2fs11277-024-11448-x&partnerID=40&md5=566b76a74c90b5c62080db8801223d08,"Developing a robust Automatic Speech Recognition (ASR) system is a major challenge in speech signal processing research. These systems perform exceedingly well in clean environments. However, the performance of these systems is not acceptable when the spoken signal is corrupted by several environmental and other artificial noises. The efficiency of any ASR system depends on several factors such as size of the vocabulary, native language influences, transmission channel, emotional and health state of the speaker, age of the speaker, designed speech corpus, size of the dataset, training and testing strategy and its preprocessing and other challenges. It is well known fact that the presence of noise in speech signal degrades its perceptual quality and intelligibility and hence ASR system performance is also affected. So, in this paper Dabauchies Wavelet based time adaptive Bayes thresholding algorithm is proposed with a custom Wavelet Packet Decomposition and Reconstruction Tree. The proposed system performance is evaluated on the Private Kannada Dataset and TIMIT dataset. The results reveal the effectiveness of the proposed system in various SNR levels such as − 10, − 5, 0, 5, 10, 15, 20, 25 and 30 dB. The article begins with introductory insights on ASR, Physiological process of speech production and perception in Humans, ASR jorgans, the architecture of ASR, and barriers associated with the ASR design. The work also focus on dataset design, baseline speech enhancement methods. This work provides comprehensive review to Wavelet based speech enhancement approach to the research scholars pursuing research in the area of speech signal processing. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Automatic Speech Recognition; Daubechies wavelet; Deep neural network; Orthogonal wavelets,Discrete wavelet transforms; Signal to noise ratio; Speech communication; Speech enhancement; Speech recognition; Statistical tests; Trees (mathematics); Wavelet decomposition; Adaptive wavelet thresholding; Automatic speech recognition; Automatic speech recognition system; Clean environment; Daubechies Wavelet; Orthogonal wavelets; Robust Speech Enhancement; Signal processing research; Speech signal processing; Systems performance; Deep neural networks,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85200567669
Sun G.; Zhang C.; Woodland P.C.,"Sun, Guangzhi (57209889643); Zhang, Chao (56303967500); Woodland, Philip C. (7003878437)",57209889643; 56303967500; 7003878437,Graph Neural Networks for Contextual ASR With the Tree-Constrained Pointer Generator,2024,IEEE/ACM Transactions on Audio Speech and Language Processing,32,,,2407,2417,10,2,10.1109/TASLP.2024.3389645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190746046&doi=10.1109%2fTASLP.2024.3389645&partnerID=40&md5=37f585f05e9506836cb0732bb39c61e6,"Incorporating biasing words obtained through contextual knowledge is paramount in automatic speech recognition (ASR) applications. This paper proposes an innovative method for achieving end-to-end contextual ASR using graph neural network (GNN) encodings based on the tree-constrained pointer generator method. GNN node encodings facilitate lookahead for future word pieces in the process of ASR decoding at each tree node by incorporating information about all word pieces on the tree branches rooted from it. This results in a more precise prediction of the generation probability of the biasing words. The study explores three GNN encoding techniques: namely the tree recursive neural network (Tree-RNN), the graph convolutional network (GCN), and GraphSAGE, along with different combinations of the complementary GCN and GraphSAGE structures. The performance of the systems was evaluated using both Librispeech and the AMI corpus with a visual-grounded contextual ASR pipeline. The findings indicate that using GNN encodings achieved consistent and significant reductions in word error rate (WER), particularly for words that are rare or have not been seen during the training process. Notably, on LibriSpeech test sets, the combined GNN proposed in this paper achieved a 20% relative rare word error rate reduction compared to Tree-RNN, 30%-40% compared to standard TCPGen and 60% compared to standard ASR systems without TCPGen. © 2014 IEEE.",audio-visual; contextual speech recognition; end-to-end; graph neural networks; Pointer generator,Encoding (symbols); Graph neural networks; Network coding; Trees (mathematics); Audio-visual; Automatic speech recognition; Context models; Contextual speech recognition; Encodings; End to end; Generator; Graph neural networks; Pointer generator; Speech recognition,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85190746046
ZainEldin H.; Gamel S.A.; Talaat F.M.; Aljohani M.; Baghdadi N.A.; Malki A.; Badawy M.; Elhosseini M.A.,"ZainEldin, Hanaa (56677719700); Gamel, Samah A. (57192639629); Talaat, Fatma M. (57194720343); Aljohani, Mansourah (58001097400); Baghdadi, Nadiah A. (57219014401); Malki, Amer (57375133400); Badawy, Mahmoud (24723484700); Elhosseini, Mostafa A. (56050513100)",56677719700; 57192639629; 57194720343; 58001097400; 57219014401; 57375133400; 24723484700; 56050513100,"Silent no more: a comprehensive review of artificial intelligence, deep learning, and machine learning in facilitating deaf and mute communication",2024,Artificial Intelligence Review,57,7,188,,,,9,10.1007/s10462-024-10816-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196841702&doi=10.1007%2fs10462-024-10816-0&partnerID=40&md5=87b8311b9f0ad56073e472d7fd60c123,"People who often communicate via sign language are essential to our society and significantly contribute. They struggle with communication mostly because other people, who often do not understand sign language, cannot interact with them. It is necessary to develop a dependable system for automatic sign language recognition. This paper aims to provide a comprehensive review of the advancements in artificial intelligence (AI), deep learning (DL), and machine learning (ML) technologies that have been used to facilitate communication for individuals who are deaf and mute (D–M). This study explores various applications of these technologies, including sign language interpretation, speech recognition, and text-to-speech synthesis. By examining the current state of research and development in AI, ML, and DL for the D–M field, the survey sheds light on the potential and challenges faced in utilizing AI, deep learning, and ML to bridge the communication gap for the D–M community. The findings of this survey will contribute to a greater understanding of the potential impact of these technologies in improving access to communication for individuals who are D–M, thereby aiding in the development of more inclusive and accessible solutions. © The Author(s) 2024.",Artificial intelligence (AI); Convolutional neural networks (CNN); Deaf and mute (D–M); Deep learning (DL); Machine learning; Optimization,Character recognition; Convolutional neural networks; Speech recognition; Speech synthesis; Artificial intelligence; Convolutional neural network; Deaf and mute; Deep learning; Dependable systems; Machine-learning; Optimisations; Sign language; Sign Language recognition; Deep learning,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85196841702
Mallol-Ragolta A.; Schuller B.,"Mallol-Ragolta, Adria (57204679167); Schuller, Bjorn (6603767415)",57204679167; 6603767415,Coupling Sentiment and Arousal Analysis Towards an Affective Dialogue Manager,2024,IEEE Access,12,,,20654,20662,8,0,10.1109/ACCESS.2024.3361750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184336537&doi=10.1109%2fACCESS.2024.3361750&partnerID=40&md5=ebf82a13e6648917befea6d97879acd3,"We present the technologies and host components developed to power a speech-based dialogue manager with affective capabilities. The overall goal is that the system adapts its response to the sentiment and arousal level of the user inferred by analysing the linguistic and paralinguistic information embedded in his or her interaction. A linguistic-based, dedicated sentiment analysis component determines the body of the system response. A paralinguistic-based, dedicated arousal recognition component adjusts the energy level to convey in the affective system response. The sentiment analysis model is trained using the CMU-MOSEI dataset and implements a hierarchical contextual attention fusion network, which scores an Unweighted Average Recall (UAR) of 79.04% on the test set when tackling the task as a binary classification problem. The arousal recognition model is trained using the MSP-Podcast corpus. This model extracts the Mel-spectrogram representations of the speech signals, which are exploited with a Convolutional Neural Network (CNN) trained from scratch, and scores a UAR of 61.11% on the test set when tackling the task as a three-class classification problem. Furthermore, we highlight two sample dialogues implemented at the system back-end to detail how the sentiment and arousal inferences are coupled to determine the affective system response. These are also showcased in a proof of concept demonstrator. We publicly release the trained models to provide the research community with off-the-shelf sentiment analysis and arousal recognition tools. © 2013 IEEE.",Affective dialogue manager; arousal recognition; emotional artificial intelligence; human-computer interaction; sentiment analysis,Classification (of information); Data mining; Emotion Recognition; Linguistics; Neural networks; Speech recognition; Statistical tests; Virtual reality; Affective dialog manager; Annotation; Arousal recognition; Dialogue manager; Emotional artificial intelligence; Sentiment analysis; System response; Task analysis; Virtual assistants; Human computer interaction,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85184336537
Qu L.; Li T.; Weber C.; Pekarek-Rosin T.; Ren F.; Wermter S.,"Qu, Leyuan (57189588967); Li, Taihao (57274306300); Weber, Cornelius (7402376952); Pekarek-Rosin, Theresa (57212390115); Ren, Fuji (57197721795); Wermter, Stefan (7003826680)",57189588967; 57274306300; 7402376952; 57212390115; 57197721795; 7003826680,Disentangling Prosody Representations With Unsupervised Speech Reconstruction,2024,IEEE/ACM Transactions on Audio Speech and Language Processing,32,,,39,54,15,3,10.1109/TASLP.2023.3320864,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174829083&doi=10.1109%2fTASLP.2023.3320864&partnerID=40&md5=52fa01c29edcf01f55fbf9beab5b2bb7,"Human speech can be characterized by different components, including semantic content, speaker identity and prosodic information. Significant progress has been made in disentangling representations for semantic content and speaker identity in speech recognition and speaker verification tasks respectively. However, it is still an open challenging question to extract prosodic information because of the intrinsic association of different attributes, such as timbre and rhythm, and because of the need for supervised training schemes to achieve robust speech recognition. The aim of this article is to address the disentanglement of emotional prosody based on unsupervised reconstruction. Specifically, we identify, design, implement and integrate three crucial components in our proposed model Prosody2Vec: (1) a unit encoder that transforms speech signals into discrete units for semantic content, (2) a pretrained speaker verification model to generate speaker identity embeddings, and (3) a trainable prosody encoder to learn prosody representations. We first pretrain Prosody2Vec on unlabelled emotional speech corpora, then fine-tune the model on specific datasets to perform Speech Emotion Recognition (SER) and Emotional Voice Conversion (EVC) tasks. Both objective and subjective evaluations on the EVC task suggest that Prosody2Vec effectively captures general prosodic features that can be smoothly transferred to other emotional speech. In addition, our SER experiments on the IEMOCAP dataset reveal that the prosody features learned by Prosody2Vec are complementary and beneficial for the performance of widely used speech pretraining models and surpass the state-of-the-art methods when combining Prosody2Vec with HuBERT representations. Audio samples can be found on our demo website. © 2023 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 License.",emotional voice conversion; Prosody disentanglement; speech emotion recognition,Emotion Recognition; Job analysis; Quantization (signal); Semantics; Signal encoding; Speech communication; Emotion recognition; Emotional voice conversion; Emotional voices; Prosody disentanglement; Quantization (signal); Rhythm; Semantic content; Speech emotion recognition; Task analysis; Voice conversion; Speech recognition,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85174829083
Jain R.; Barcovschi A.; Yiwere M.Y.; Corcoran P.; Cucu H.,"Jain, Rishabh (57568296800); Barcovschi, Andrei (58135704300); Yiwere, Mariam Yahayah (57204890157); Corcoran, Peter (57190839462); Cucu, Horia (36439147500)",57568296800; 58135704300; 57204890157; 57190839462; 36439147500,Exploring Native and Non-Native English Child Speech Recognition With Whisper,2024,IEEE Access,12,,,41601,41610,9,1,10.1109/ACCESS.2024.3378738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188422344&doi=10.1109%2fACCESS.2024.3378738&partnerID=40&md5=7353fc3facfb112bc6da009384e5e868,"Modern end-to-end Automatic Speech Recognition (ASR) systems struggle to recognise children's speech. This challenge is due to the high acoustic variability in children's voices and the scarcity of child speech training data, particularly for accented or low-resource languages. This study focuses on improving the performance of ASR on native and non-native English child speech using publicly available datasets. We evaluate how the large-scale whisper models (trained with a large amount of adult speech data) perform with child speech. In addition, we perform finetuning experiments using different child speech datasets to investigate the performance of whisper ASR on non-native English-speaking children's speech. Our findings indicate relative Word Error Rate (WER) improvements ranging from 29% to 89% over previous benchmarks on the same datasets. Notably, these gains were achieved by finetuning with only a 10% sample of unseen non-native datasets. These results demonstrate the potential of whisper for improving ASR in a low-resource scenario for non-native child speech.  © 2013 IEEE.",Child automatic speech recognition; CMU_Kids; large-scale supervision; MyST; non-native child speech; PFSTAR; speechocean762; whisper,Electric transformer testing; Adaptation models; Automatic speech recognition; Child automatic speech recognition; Children's speech; CMU_kid; Decoding; Large-scale supervision; Large-scales; MyST; Non-native; Non-native child speech; PFSTAR; Speechocean762; Transformer; Whisper; Speech recognition,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85188422344
Kwon H.,"Kwon, Hyun (57197769092)",57197769092,Friend-Guard Textfooler Attack on Text Classification System,2025,IEEE Access,13,,,3841,3848,7,6,10.1109/ACCESS.2021.3080680,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107215269&doi=10.1109%2fACCESS.2021.3080680&partnerID=40&md5=c2a07deec16798f91ac1a20db1aa9691,"Deep neural networks provide good performance for image classification, text classification, speech classification, and pattern analysis. However, such neural networks are vulnerable to adversarial examples. An adversarial example is a sample created by adding a little noise to the original sample data and that, although presenting no change identifiable to human perception, will be misclassified by a deep neural network. Most studies on adversarial examples have focused on images, but research is expanding to include the field of text. Textual adversarial examples can be useful in certain situations, such as when models of both friend and enemy coexist, as in a military scenario. Here, a specific message may be generated as an adversarial example such that no grammatical or semantic problems are apparent to human perception and it will be correctly classified by the friend model but incorrectly classified by the enemy model. In this paper, I propose a ""friend-guard""textual adversarial example for a text classification system. Unlike the existing methods for generating image adversarial examples, the proposed method creates adversarial examples designed to be misclassified by an enemy model and correctly classified by a friend model while retaining the meaning and grammar of the original sentence by replacing words of importance with substitutions. Experiments were conducted using a movie review dataset and the TensorFlow library. The experimental results show that the proposed method can generate an adversarial example that will be correctly classified with 88.2% accuracy by the friend model and 26.1% accuracy by the enemy model. © 2021 The Authors.",deep neural network (DNN); evasion attack; Machine learning; text adversarial example; text classification,Bit error rate; Classification (of information); Distortion (waves); Semantics; Speech recognition; Text processing; Bit-error rate; Context models; Deep neural network; Evasion attack; Grammar; Machine-learning; Neural-networks; Text adversarial example; Text classification; Text recognition; Tokenization; Deep neural networks,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85107215269
Ko M.; Kim E.; Choi Y.-H.,"Ko, Myeongjin (57444361000); Kim, Euiyeon (58829118700); Choi, Yong-Hoon (7404777616)",57444361000; 58829118700; 7404777616,Adversarial Training of Denoising Diffusion Model Using Dual Discriminators for High-Fidelity Multi-Speaker TTS,2024,IEEE Open Journal of Signal Processing,5,,,577,587,10,0,10.1109/OJSP.2024.3386495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190167342&doi=10.1109%2fOJSP.2024.3386495&partnerID=40&md5=68e8b754aed97b3c9809ab88698224be,"The diffusion model is capable of generating high-quality data through a probabilistic approach. However, it suffers from the drawback of slow generation speed due to its requirement for many time steps. To address this limitation, recent models such as denoising diffusion implicit models (DDIM) focus on sample generation without explicitly modeling the entire probability distribution, while models like denoising diffusion generative adversarial networks (GAN) combine diffusion processes with GANs. In the field of speech synthesis, a recent diffusion speech synthesis model called DiffGAN-TTS, which utilizes the structure of GANs, has been introduced and demonstrates superior performance in both speech quality and generation speed. In this paper, to further enhance the performance of DiffGAN-TTS, we propose a speech synthesis model with two discriminators: a diffusion discriminator to learn the distribution of the reverse process, and a spectrogram discriminator to learn the distribution of the generated data. Objective metrics such as the structural similarity index measure (SSIM), mel-cepstral distortion (MCD), F0 root mean squared error (F0- RMSE), phoneme error rate (PER), word error rate (WER), as well as subjective metrics like mean opinion score (MOS), are used to evaluate the performance of the proposed model. The evaluation results demonstrate that our model matches or exceeds recent state-of-the-art models like FastSpeech 2 and DiffGAN-TTS across various metrics. Our code and audio samples are available on GitHub. © 2020 IEEE.",Denoising diffusion model; generative adversarial network; mel-spectrogram discriminator; speech synthesis; text-to-speech,Diffusion; Discriminators; Errors; Hidden Markov models; Mean square error; Noise abatement; Probability distributions; Spectrographs; Speech enhancement; Speech recognition; Speech synthesis; Computational modelling; De-noising; Denoising diffusion model; Diffusion model; Hidden-Markov models; Mel-spectrogram discriminator; Performance; Spectrograms; Text to speech; Generative adversarial networks,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85190167342
Teixeira F.; Abad A.; Raj B.; Trancoso I.,"Teixeira, Francisco (57203978875); Abad, Alberto (35172483000); Raj, Bhiksha (7102615577); Trancoso, Isabel (6603959337)",57203978875; 35172483000; 7102615577; 6603959337,Privacy-Oriented Manipulation of Speaker Representations,2024,IEEE Access,12,,,82949,82971,22,0,10.1109/ACCESS.2024.3409067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195378702&doi=10.1109%2fACCESS.2024.3409067&partnerID=40&md5=739d87453f51c85776eb5197365654b9,"Speaker embeddings are ubiquitous, with applications ranging from speaker recognition and diarization to speech synthesis and voice anonymization. The amount of information held by these embeddings lends them versatility but also raises privacy concerns. Speaker embeddings have been shown to contain sensitive information, including the speaker's age, sex, health state and more - in other words, information that speakers may want to keep private, especially when it is not required for the target task. In this work, we propose a method for removing and manipulating private attribute information in speaker representations that leverages a Vector-Quantized Variational Autoencoder architecture combined with an adversarial classifier and a novel mutual information loss. We validate our model on two attributes, sex and age, and perform experiments to remove or manipulate this information using ignorant and informed attackers. The model is tested with in-domain and out-of-domain data to assess its robustness, and the resulting speaker representations are used in a speaker verification scenario to validate their utility. Our results show that our model obtains a strong trade-off between utility and privacy, achieving age and sex classification results near chance level for both attackers and yielding little impact on speaker verification performance. © 2013 IEEE.",Age information removal; attribute-based privacy; privacy-oriented manipulation; sex information removal; speaker embeddings; speaker recognition,Economic and social effects; Job analysis; Speech recognition; Speech synthesis; Age information removal; Attribute-based; Attribute-based privacy; Embeddings; Market researches; Privacy; Privacy-oriented manipulation; Sex information removal; Solid modelling; Speaker embedding; Speaker recognition; Task analysis; Classification (of information),Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85195378702
Xin D.; Jiang J.; Takamichi S.; Saito Y.; Aizawa A.; Saruwatari H.,"Xin, Detai (57221101232); Jiang, Junfeng (57224216773); Takamichi, Shinnosuke (55751754900); Saito, Yuki (57194868285); Aizawa, Akiko (6701312731); Saruwatari, Hiroshi (7003918936)",57221101232; 57224216773; 55751754900; 57194868285; 6701312731; 7003918936,JVNV: A Corpus of Japanese Emotional Speech with Verbal Content and Nonverbal Expressions,2024,IEEE Access,12,,,19752,19764,12,5,10.1109/ACCESS.2024.3360885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184315600&doi=10.1109%2fACCESS.2024.3360885&partnerID=40&md5=0bf1571bd5d530e3b32b82c27c58dd8d,"We present the JVNV, a Japanese emotional speech corpus with verbal content and nonverbal vocalizations whose scripts are generated by a large-scale language model. Existing emotional speech corpora lack not only proper emotional scripts but also nonverbal vocalizations (NVs) that are essential expressions in spoken language to express emotions. We propose an automatic script generation method to produce emotional scripts by providing seed words with sentiment polarity and phrases of nonverbal vocalizations to ChatGPT using prompt engineering. We select 514 scripts with balanced phoneme coverage from the generated candidate scripts with the assistance of emotion confidence scores and language fluency scores. Experimental results show that JVNV has better phoneme coverage and emotion recognizability than previous Japanese emotional speech corpora. We then benchmark JVNV on emotional text-to-speech synthesis using discrete codes to represent NVs. The results demonstrate that there still exists a gap between the performance of synthesizing read-aloud speech and emotional speech, and adding NVs in the speech makes the task even harder, which brings new challenges for this task and makes JVNV a valuable resource for relevant works in the future. To our best knowledge, JVNV is the first speech corpus that generates scripts automatically using large language models. © 2013 IEEE.",Corpus design; emotional speech corpus; Japanese corpus; large-scale language model; nonverbal expression; nonverbal vocalization,Computational linguistics; Emotion Recognition; Speech communication; Speech synthesis; Corpus design; Emotion recognition; Emotional speech; Emotional speech corpus; Japanese corpus; Language model; Language processing; Large-scale language model; Large-scales; Natural language processing; Natural languages; Nonverbal expression; Nonverbal vocalizations; Nonverbals; Oral communication; Speech corpora; Speech recognition,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85184315600
Gonzales M.G.; Corcoran P.; Harte N.; Schukat M.,"Gonzales, Michael Gian (57221830735); Corcoran, Peter (57190839462); Harte, Naomi (6602143215); Schukat, Michael (14016517800)",57221830735; 57190839462; 6602143215; 14016517800,Joint Speech-Text Embeddings for Multitask Speech Processing,2024,IEEE Access,12,,,145955,145967,12,0,10.1109/ACCESS.2024.3473743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206853385&doi=10.1109%2fACCESS.2024.3473743&partnerID=40&md5=d538a72769b3204094661446227bd83b,"Devices that use speech as the communication medium between human and computer have been emerging for the past few years. The technologies behind this interface are called Automatic Speech Recognition (ASR) and Text-to-Speech (TTS). The two are distinct fields in speech signal processing that have independently made great strides in recent years. This paper proposes an architecture that takes advantage of the two modalities present in ASR and TTS, speech and text, while simultaneously training three tasks, adding speaker recognition to the underlying ASR and TTS tasks. This architecture not only reduces the memory footprint required to run all tasks, but also has performance comparable to single-task models. The dataset used to train and evaluate the model is the CSTR VCTK Corpus. Results show a 97.64% accuracy in the speaker recognition task, word and character error rates of 18.18% and 7.95% for the ASR task, a mel cepstral distortion of 4.31 and two predicted MOS of 2.98 and 3.28 for the TTS task. While voice conversion is not part of the training tasks, the architecture is capable of doing this and was evaluated to have 5.22, 2.98, and 2.73 for mel cepstral distortion and predicted MOS, respectively.  © 2024 The Authors.",Automatic speech recognition; joint speech-text; speaker recognition; speech processing; text-to-speech; voice conversion,Audio signal processing; Automatic speech recognition; Cepstral; Communication media; Embeddings; Joint speech-text; Memory footprint; Speaker recognition; Speech signal processing; Text to speech; Voice conversion; Speech recognition,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85206853385
Wan G.; Mao T.; Zhang J.; Chen H.; Gao J.; Ye Z.,"Wan, Genshun (57207995145); Mao, Tingzhi (57219692707); Zhang, Jingxuan (57204049170); Chen, Hang (58113784400); Gao, Jianqing (56428194700); Ye, Zhongfu (7401957018)",57207995145; 57219692707; 57204049170; 58113784400; 56428194700; 7401957018,Grammar-Supervised End-to-End Speech Recognition with Part-of-Speech Tagging and Dependency Parsing,2023,Applied Sciences (Switzerland),13,7,4243,,,,4,10.3390/app13074243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152521704&doi=10.3390%2fapp13074243&partnerID=40&md5=5ba61dddeb39032d5b190542f8f96a09,"For most automatic speech recognition systems, many unacceptable hypothesis errors still make the recognition results absurd and difficult to understand. In this paper, we introduce the grammar information to improve the performance of the grammatical deviation distance and increase the readability of the hypothesis. The reinforcement of word embedding with grammar embedding is presented to intensify the grammar expression. An auxiliary text-to-grammar task is provided to improve the performance of the recognition results with the downstream task evaluation. Furthermore, the multiple evaluation methodology of grammar is used to explore an expandable usage paradigm with grammar knowledge. Experiments on the small open-source Mandarin speech corpus AISHELL-1 and large private-source Mandarin speech corpus TRANS-M tasks show that our method can perform very well with no additional data. Our method achieves relative character error rate reductions of 3.2% and 5.0%, a relative grammatical deviation distance reduction of 4.7% and 5.9% on AISHELL-1 and TRANS-M tasks, respectively. Moreover, the grammar-based mean opinion score of our method is about 4.29 and 3.20, significantly superior to the baseline of 4.11 and 3.02. © 2023 by the authors.",grammar knowledge; grammatical deviation distance; multiple evaluation methodology of grammar; speech recognition,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85152521704
Liu R.; Yuan H.; Gao G.; Li H.,"Liu, Rui (57193863352); Yuan, Hongyu (59395143700); Gao, Guanglai (7403171213); Li, Haizhou (8615868400)",57193863352; 59395143700; 7403171213; 8615868400,Listening and seeing again: Generative error correction for audio-visual speech recognition,2025,Information Fusion,120,,103077,,,,0,10.1016/j.inffus.2025.103077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000070062&doi=10.1016%2fj.inffus.2025.103077&partnerID=40&md5=3906315009998a58ad9572f2002b7dc0,"Unlike traditional Automatic Speech Recognition (ASR), Audio-Visual Speech Recognition (AVSR) takes audio and visual signals simultaneously to infer the transcription. Recent studies have shown that Large Language Models (LLMs) can be effectively used for Generative Error Correction (GER) in ASR by predicting the best transcription from ASR-generated N-best hypotheses. However, these LLMs lack the ability to simultaneously understand audio and visual, making the GER approach challenging to apply in AVSR. In this work, we propose a novel GER paradigm for AVSR, termed AVGER, that follows the concept of “listening and seeing again”. Specifically, we first use the powerful AVSR system to read the audio and visual signals to get the N-Best hypotheses, and then use the Q-former-based Multimodal Synchronous Encoder to read the audio and visual information again and convert them into an audio and video compression representation respectively that can be understood by LLM. Afterward, the audio-visual compression representation and the N-Best hypothesis together constitute a Cross-modal Prompt to guide the LLM in producing the best transcription. In addition, we also proposed a Multi-Level Consistency Constraint training criterion, including logits-level, utterance-level and representations-level, to improve the correction accuracy while enhancing the interpretability of audio and visual compression representations. The experimental results on the LRS3 dataset show that our method outperforms current mainstream AVSR systems. The proposed AVGER can reduce the Word Error Rate (WER) by 27.59% compared to them. Code and models can be found at: https://github.com/AI-S2-Lab/AVGER. © 2025 Elsevier B.V.",Audio-visual speech recognition; Generative error correction; Multimodal large language models,Speech recognition; Audio signal; Audiovisual speech recognition; Automatic speech recognition; Errors correction; Generative error correction; Language model; Multi-modal; Multimodal large language model; N-best hypothesis; Visual signals; Visual languages,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105000070062
Reza S.; Ferreira M.C.; Machado J.J.M.; Tavares J.M.R.S.,"Reza, Selim (57345004700); Ferreira, Marta Campos (55583974700); Machado, J.J.M. (57193344480); Tavares, João Manuel R.S. (36538110300)",57345004700; 55583974700; 57193344480; 36538110300,A customized residual neural network and bi-directional gated recurrent unit-based automatic speech recognition model,2023,Expert Systems with Applications,215,,119293,,,,16,10.1016/j.eswa.2022.119293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143545962&doi=10.1016%2fj.eswa.2022.119293&partnerID=40&md5=f8ccfeed2a9055109461c0ffa0624704,"Speech recognition aims to convert human speech into text and has applications in security, healthcare, commerce, automobiles, and technology, just to name a few. Inserting residual neural networks before recurrent neural network cells improves accuracy and cuts training time by a good margin. Furthermore, layer normalization instead of batch normalization is more effective in model training and performance enhancement. Also, the size of the datasets presents tremendous influences in achieving the best performance. Leveraging these tricks, this article proposes an automatic speech recognition model with a stacked five layers of customized Residual Convolution Neural Network and seven layers of Bi-Directional Gated Recurrent Units, including a logarithmic softmax for the model output. Each of them incorporates a learnable per-element affine parameter-based layer normalization technique. The training and testing of the new model were conducted on the LibriSpeech corpus and LJ Speech dataset. The experimental results demonstrate a character error rate (CER) of 4.7 and 3.61% on the two datasets, respectively, with only 33 million parameters without the requirement of any external language model. © 2022 The Authors",Character error rate; Deep learning; Layer normalization; LibriSpeech corpus; LJ speech dataset; Word error rate,Character recognition; Errors; Multilayer neural networks; Network layers; Recurrent neural networks; Statistical tests; Automatic speech recognition; Bi-directional; Character error rates; Deep learning; Layer normalization; Librispeech corpus; LJ speech dataset; Neural-networks; Normalisation; Word error rate; Speech recognition,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85143545962
