"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Turn RNN-T for Streaming Recognition of Multi-Party Speech","I. Sklyar; A. Piunova; X. Zheng; Y. Liu",Amazon Alexa; Amazon Alexa; University of Cambridge; Amazon Alexa,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","27 Apr 2022","2022","","","8402","8406","Automatic speech recognition (ASR) of single channel far-field recordings with an unknown number of speakers is traditionally tackled by cascaded modules. Recent research shows that end-to-end (E2E) multi-speaker ASR models can achieve superior recognition accuracy compared to modular systems. However, these models do not ensure real-time applicability due to their dependency on full audio context. This work takes real-time applicability as the first priority in model design and addresses a few challenges in previous work on multi-speaker recurrent neural network transducer (MS-RNN-T). First, we introduce on-the-fly overlapping speech simulation during training, yielding 14% relative word error rate (WER) improvement on LibriSpeechMix test set. Second, we propose a novel multi-turn RNN-T (MT-RNN-T) model with an overlap-based target arrangement strategy that generalizes to an arbitrary number of speakers without changes in the model architecture. We investigate the impact of the maximum number of speakers seen during training on MT-RNN-T performance on LibriCSS test set, and report 28% relative WER improvement over the two-speaker MS-RNN-T. Third, we experiment with a rich transcription strategy for joint recognition and segmentation of multi-party speech. Through an in-depth analysis, we discuss potential pitfalls of the proposed system as well as promising future research directions.","2379-190X","978-1-6654-0540-9","10.1109/ICASSP43922.2022.9746074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9746074","streaming multi-speaker speech recognition;overlapped speech;recurrent neural network transducer;multi-turn","Training;Heart;Transducers;Recurrent neural networks;Error analysis;Speech recognition;Signal processing","","10","","35","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"Decoupling Recognition and Transcription in Mandarin ASR","J. Yuan; X. Cai; D. Gao; R. Zheng; L. Huang; K. Church",Baidu Research USA; Baidu Research USA; Johns Hopkins University; Baidu Research USA; Baidu Research USA; Baidu Research USA,2021 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),"3 Feb 2022","2021","","","1019","1025","Much of the recent literature on automatic speech recognition (ASR) is taking an end-to-end approach. Unlike English where the writing system is closely related to sound, Chinese characters (Hanzi) represent meaning, not sound. We propose factoring audio → Hanzi into two sub-tasks: (1) audio → Pinyin and (2) Pinyin → Hanzi, where Pinyin is a system of phonetic transcription of standard Chinese. Factoring the audio → Hanzi task in this way achieves 3.9% CER (character error rate) on the Aishell-1 corpus, the best result reported on this dataset so far.","","978-1-6654-3739-4","10.1109/ASRU51503.2021.9688053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9688053","ASR;Wav2vec2.0;KenLM;Transformer","Error analysis;Conferences;Writing;Phonetics;Character recognition;Task analysis;Standards","","9","","53","IEEE","3 Feb 2022","","","IEEE","IEEE Conferences"
"Hallucination of Speech Recognition Errors With Sequence to Sequence Learning","P. Serai; V. Sunder; E. Fosler-Lussier","Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA; Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA; Department of Computer Science and Engineering, The Ohio State University, Columbus, OH, USA","IEEE/ACM Transactions on Audio, Speech, and Language Processing","1 Mar 2022","2022","30","","890","900","Prior work in this domain has focused on modeling errors at the phonetic level, while using a lexicon to convert the phones to words, usually accompanied by an FST Language model. We present novel end-to-end models to directly predict hallucinated ASR word sequence outputs, conditioning on an input word sequence as well as a corresponding phoneme sequence. This improves prior published results for recall of errors from an in-domain ASR system’s transcription of unseen data, as well as an out-of-domain ASR system’s transcriptions of audio from an unrelated task, while additionally exploring an in-between scenario when limited characterization data from the test ASR system is obtainable. To verify the extrinsic validity of the method, we also use our hallucinated ASR errors to augment training for a spoken question classifier, finding that they enable robustness to real ASR errors in a downstream task, when scarce or even zero task-specific audio was available at train-time.","2329-9304","","10.1109/TASLP.2022.3145313","National Science Foundation(grant numbers:1618336); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9693404","Error prediction;hallucinated asr errors;low resource;sequence to sequence neural networks;speech recognition","Predictive models;Decoding;Phonetics;Speech recognition;Task analysis;Context modeling;Text recognition","","5","","32","IEEE","25 Jan 2022","","","IEEE","IEEE Journals"
"Towards a Database For Detection of Multiple Speech Disfluencies in Indian English","S. Garg; U. Mehrotra; G. Krishna; A. K. Vuppala","Speech Processing Lab LTRC, KCIS, IIIT Hyderabad, Hyderabad, India; Speech Processing Lab LTRC, KCIS, IIIT Hyderabad, Hyderabad, India; Speech Processing Lab LTRC, KCIS, IIIT Hyderabad, Hyderabad, India; Speech Processing Lab LTRC, KCIS, IIIT Hyderabad, Hyderabad, India",2021 National Conference on Communications (NCC),"13 Sep 2021","2021","","","1","6","The detection and removal of disfluencies from speech is an important task since the presence of disfluencies can adversely affect the performance of speech-based applications such as Automatic Speech Recognition (ASR) systems and speech-to-speech translation systems. From the perspective of Indian languages, there is a lack of studies pertaining to speech disfluencies, their types and frequency of occurrence. Also, the resources available to perform such studies in an Indian context are limited. Through this paper, we attempt to address this issue by introducing the IIITH-Indian English Disfluency (IIITH-IED) Dataset. This dataset consists of 10-hours of lecture mode speech in Indian English. Five types of disfluencies - filled pause, prolongation, word repetition, part-word repetition and phrase repetition were identified in the speech signal and annotated in the corresponding transcription to prepare this dataset. The IIITH-IED dataset was then used to develop frame-level automatic disfluency detection systems. Two sets of features were extracted from the speech signal and then used to train classifiers for the task of disfluency detection. Amongst all the systems employed, Random Forest with MFCC features resulted in the highest average accuracy of 89.61% and F1-score of 0.89.","","978-1-6654-4177-3","10.1109/NCC52529.2021.9530043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530043","speech disfluencies;acoustic features;binary classification;recall","Databases;Filter banks;Feature extraction;Mel frequency cepstral coefficient;Task analysis;Automatic speech recognition","","5","","35","IEEE","13 Sep 2021","","","IEEE","IEEE Conferences"
"Advancing Search Engine Functionality Through AI-Powered Audio Transcription","S. Poply; A. K. Sharma; P. S. Rathore","Department of IoT and Intelligent, SystemsManipal University, Jaipur, India; Department of Computer and Communcation Engineering, Manipal University, Jaipur, India; Department of Computer and Communication Engineering, Manipal University Jaipur, Jaipur, India",2024 International Conference on Advances in Computing Research on Science Engineering and Technology (ACROSET),"12 Nov 2024","2024","","","1","4","Efficiently navigating through extensive datasets is fundamental for enhancing productivity, facilitating informed decision-making, and fostering innovation. To achieve this, the integration of state-of-the-art technologies such as artificial intelligence (AI) and advanced search engines has become imperative in maximizing the utilization of available information. This paper presents a novel approach to address the challenges associated with traditional search methodologies. Contrary to conventional methods focusing solely on optimizing speed and indexes, our proposed solution leverages transcript generation for video/audio content distributed across the internet. By integrating transcripts into the search process, our approach aims to significantly enhance search capabilities, allowing for more precise and efficient retrieval of relevant multimedia content. Through empirical evaluation and comparative analysis, we demonstrate the efficacy and superiority of our method in improving search efficiency and accuracy. This research contributes to advancing the field of information retrieval by introducing a smart solution tailored to meet the evolving demands of contemporary digital ecosystems.","","979-8-3503-8880-0","10.1109/ACROSET62108.2024.10743633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10743633","AI;search engine;NLP;automatic speech recognition","Productivity;Technological innovation;Navigation;Ecosystems;Focusing;Speech recognition;Search engines;Streaming media;Indexes;Artificial intelligence","","","","8","IEEE","12 Nov 2024","","","IEEE","IEEE Conferences"
"SQ-Whisper: Speaker-Querying Based Whisper Model for Target-Speaker ASR","P. Guo; X. Chang; H. Lv; S. Watanabe; L. Xie","Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University, Xi'an, China; Carnegie Mellon University, Pittsburgh, PA, USA; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University, Xi'an, China; Carnegie Mellon University, Pittsburgh, PA, USA; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University, Xi'an, China","IEEE Transactions on Audio, Speech and Language Processing","27 Jan 2025","2025","33","","175","185","Benefiting from massive and diverse data sources, speech foundation models exhibit strong generalization and knowledge transfer capabilities to a wide range of downstream tasks. However, a limitation arises from their exclusive handling of single-speaker speech input, making them ineffective in recognizing multi-speaker overlapped speech, a common occurrence in real-world scenarios. In this study, we delve into the adaptation of speech foundation models to eliminate interfering speakers from overlapping speech and perform target-speaker automatic speech recognition (TS-ASR). Initially, we utilize the Whisper model as the foundation for adaptation and conduct a thorough comparison of its integration with existing target-speaker adaptation techniques. We then propose an innovative model termed Speaker-Querying Whisper (SQ-Whisper), which employs a set number of trainable queries to capture speaker prompts from overlapping speech based on target-speaker enrollment. These prompts serve to steer the model in extracting speaker-specific features and accurately recognizing target-speaker transcriptions. Experimental results demonstrate that our approach effectively adapts the pre-trained speech foundation model to TS-ASR. Compared with the robust TS-HuBERT model, the proposed SQ-Whisper significantly improves performance, yielding up to 15% and 10% relative reductions in word error rates (WERs) on the Libri2Mix and WSJ0-2Mix datasets, respectively. With data augmentation, we establish new state-of-the-art WERs of 14.6% on the Libri2Mix Test set and 4.4% on the WSJ0-2Mix Test set. Furthermore, we evaluate our model on the real-world AMI meeting dataset, which shows consistent improvement over other adaptation methods.","2998-4173","","10.1109/TASLP.2024.3513835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786377","Speech foundation model;Whisper;model fine-tuning;target-speaker ASR","Adaptation models;Feature extraction;Data models;Transformers;Training;Speech processing;Vectors;Predictive models;Decoding;Target recognition","","","","57","IEEE","9 Dec 2024","","","IEEE","IEEE Journals"
"Weakly Supervised Phonological Features for Pathological Speech Analysis","J. Thienpondt; G. Vanderreydt; A. Hammami; K. Demuynck","Department of Electronics and Information Systems, IDLab, Ghent University - Imec, Ghent, Belgium; Department of Electronics and Information Systems, IDLab, Ghent University - Imec, Ghent, Belgium; Department of Electronics and Information Systems, IDLab, Ghent University - Imec, Ghent, Belgium; Department of Electronics and Information Systems, IDLab, Ghent University - Imec, Ghent, Belgium","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","Paralinguistic properties of speech are essential in analyzing and choosing optimal treatment options for patients with speech disorders. However, automatic modeling of these characteristics is difficult due to the lack of labeled speech datasets describing paralinguistic properties, especially at the frame-level. In this paper, we propose a weakly supervised training method which exploits the known acoustic properties of phonemes by training an ASR model with an interpretable frame-level phonological feature bottleneck layer. Subsequently, we assess the viability of these phonological features in speech pathology analysis by developing corresponding models for intelligibility prediction and speech pathology classification. Models using our proposed phonological features perform similar to other state-of-the-art acoustic features on both tasks with a classification accuracy of 75% and a 8.43 RMSE on speech intelligibility prediction. In contrast to others, our phonological features are text-independent and highly interpretable, providing potentially useful insights for speech therapists.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10888038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10888038","phonological features;intelligibility;pathology","Training;Pathology;Analytical models;Speech analysis;Accuracy;Predictive models;Signal processing;Acoustics;Speech processing","","","","21","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"The Volcspeech System for the ICASSP 2022 Multi-Channel Multi-Party Meeting Transcription Challenge","C. Shen; Y. Liu; W. Fan; B. Wang; S. Wen; Y. Tian; J. Zhang; J. Yang; Z. Ma",Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab; Bytedance AI Lab,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","27 Apr 2022","2022","","","9176","9180","This paper describes our submission to ICASSP 2022 Multi-channel Multi-party Meeting Transcription (M2MeT) Challenge. For Track 1, we propose several approaches to make the clustering-based speaker diarization system enable to handle overlapped speech. Front-end dereverberation and the direction-of-arrival (DOA) estimation are used to improve the accuracy of speaker diarization. Multi-channel combination and overlap detection are applied to reduce the missed speaker error. A modified DOVER-Lap is also proposed to fuse the results from different systems. We achieve the final DER of 5.79% on the Eval set and 7.23% on the Test set, which ranks 4th in the diarization challenge. For Track 2, we develop our system using the Conformer model in a joint CTC-attention architecture. Serialized output training (SOT) is adopted to multi-speaker overlapped speech recognition. We propose a neural front-end module to model multi-channel audio and train the model end-to-end. Various data augmentation methods are utilized to mitigate over-fitting in the multi-channel multi-speaker E2E system. Transformer language model fusion is developed to achieve better performance. The final CER is 19.2% on the Eval set and 20.8% on the Test set, which ranks 2nd in the ASR challenge.","2379-190X","978-1-6654-0540-9","10.1109/ICASSP43922.2022.9747381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9747381","M2MeT;AliMeeting;speaker diarization;multi-channel multi-speaker speech recognition;data augmentation","Training;Direction-of-arrival estimation;Fuses;Conferences;Estimation;Speech recognition;Signal processing","","5","","27","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"Khmer Speech Translation Corpus of the Extraordinary Chambers in the Courts of Cambodia (ECCC)","K. Soky; M. Mimura; T. Kawahara; S. Li; C. Ding; C. Chu; S. Sam","Graduate School of Informatics, Kyoto University, Sakyo-ku, Kyoto, Japan; Graduate School of Informatics, Kyoto University, Sakyo-ku, Kyoto, Japan; Graduate School of Informatics, Kyoto University, Sakyo-ku, Kyoto, Japan; National Institute of Information and Communications Technology (NICT), Kyoto, Japan; National Institute of Information and Communications Technology (NICT), Kyoto, Japan; Graduate School of Informatics, Kyoto University, Sakyo-ku, Kyoto, Japan; Cambodia Academy of Digital Technology (CADT), Phnom Penh, Cambodia",2021 24th Conference of the Oriental COCOSDA International Committee for the Co-ordination and Standardisation of Speech Databases and Assessment Techniques (O-COCOSDA),"3 Jan 2022","2021","","","122","127","Speech translation (ST) is a subject of rapidly increasing interest in the area of speech processing research. This interest is apparent from the increasing tools and corpora for this task. However, the lack of sufficient datasets is still the biggest challenge for under-resourced languages. Specifically, ST requires a large corpus of parallel speech, transcription, and translation text. In this work, we construct a large corpus of the Extraordinary Chambers in the Courts of Cambodia (ECCC), including simultaneous translation from Khmer into English and French. We also address the problem of sentence segmentation of Khmer by conducting a bilingual sentence alignment from English to Khmer with a monotonic assumption. This corpus has approximately 155 hours of speech in length and 1.7M words of text. We also report the baseline results of automatic speech recognition (ASR), machine translation, and ST systems, which show reasonable performance.","2472-7695","978-1-6654-0870-7","10.1109/O-COCOSDA202152914.2021.9660421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660421","Khmer language;low-resource language;spoken language translation corpus;court dataset","TV;Databases;Machine translation;Speech processing;Task analysis;Automatic speech recognition","","4","","24","IEEE","3 Jan 2022","","","IEEE","IEEE Conferences"
"Development of a Bangla Speech to Text Conversion System Using Deep Learning","S. Saha; Asaduzzaman","Department of Computer Science & Engineering, Chittagong University of Engineering & Technology (CUET), Chattogram, Bangladesh; Department of Computer Science & Engineering, Chittagong University of Engineering & Technology (CUET), Chattogram, Bangladesh","2021 Joint 10th International Conference on Informatics, Electronics & Vision (ICIEV) and 2021 5th International Conference on Imaging, Vision & Pattern Recognition (icIVPR)","18 Oct 2021","2021","","","1","7","Bangla Speech-To-Text (STT) conversion is a technology that provides a means of converting spoken Bangla language to a written Bangla text form. The standard of speech recognition in different languages is rising step by step however Bangla speech recognition has drawn exceptionally little attention. Building up an STT framework is a bulky procedure and it requires a few stages. Deep neural network-based architecture replaces the stages with neural network components which makes the task simpler and removes the dependency on hand-engineered rules. CNN-RNN networks with CTC criterion are utilized in this undertaking to construct a Bangla STT system that generates text from speech. The architecture is trained solely on speech samples and text transcripts. We used 215.53 hours of speech data set for training, which includes a wide variety of speech samples collected by people of different ages and genders. This paper shows a comparison between genuine text transcripts with produced text transcripts for a similar sound example. Comparison of results between implemented architecture and already existing Bangla STT has also been presented in this paper. The paper is concluded with a discussion about the word error rate and implementation challenges. The key contribution of this paper is to develop a gender and speaker-independent continuous speech-to-text conversion system for the Bangla language using deep learning.","","978-1-6654-4923-6","10.1109/ICIEVicIVPR52578.2021.9564209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564209","Speech;Text;Recurrent Layers;Convolution Layers;Connectionist Temporal Classification;Word Error Rate;Bangla Language","Training;Deep learning;Neural networks;Computer architecture;Speech recognition;Linguistics;Convolutional neural networks","","1","","24","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Speech Recognition For Analysis of Police Radio Communication","T. Srivastava; J. -C. Chou; P. Shroff; K. Livescu; C. Graziul","University of Chicago, Chicago, IL; Toyota Technological Institute at Chicago, Chicago, IL; University of Chicago, Chicago, IL; Toyota Technological Institute at Chicago, Chicago, IL; University of Chicago, Chicago, IL",2024 IEEE Spoken Language Technology Workshop (SLT),"16 Jan 2025","2024","","","906","912","Police departments around the world use two-way radio for coordination. These broadcast police communications (BPC) are a unique source of information about everyday police activity and emergency response. Yet BPC are not transcribed, and their naturalistic audio properties make automatic transcription challenging. We collect a corpus of roughly 62,000 manually transcribed radio transmissions ($\sim 46$ hours of audio) to evaluate the feasibility of automatic speech recognition (ASR) using modern recognition models. We evaluate the performance of off-the-shelf spee ch recognizers, models fine-tuned on BPC data, and customized end-to-end models. We find that both human and machine transcription is challenging in this domain. Large off-the-shelf ASR models perform poorly, but fine-tuned models can reach the approximate range of human performance. Our work suggests directions for future work, including analysis of short utterances and potential miscommunication in police radio interactions. We make our corpus and data annotation pipeline available to other researchers, to enable further research on recognition and analysis of police communication.","","979-8-3503-9225-8","10.1109/SLT61566.2024.10832157","National Institutes of Health; Advanced Scientific Computing Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832157","speech recognition;police radio communication;naturalistic audio","Law enforcement;Annotations;Pipelines;Emergency services;Data models;Radio communication;Automatic speech recognition","","1","","39","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Improving Automatic Forced Alignment for Phoneme Segmentation in Quranic Recitation","A. M. A. Alqadasi; A. M. Zeki; M. S. Sunar; M. S. B. H. Salam; R. Abdulghafor; N. A. Khaled","Al-Saeed Faculty of Engineering and Information Technology, Taiz University, Taiz, Yemen; Faculty of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Faculty of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; AbdulHamid A. AbuSulayman Kulliyyah of Islamic Revealed Knowledge and Human Sciences, International Islamic University Malaysia, Kuala Lumpur, Malaysia",IEEE Access,"3 Jan 2024","2024","12","","229","244","Segmentation plays a crucial role in speech processing applications, where high accuracy is essential. The quest for improved accuracy in automatic segmentation, particularly in the context of the Arabic language, has garnered substantial attention. However, the differences between Qur’an recitation and normal Arabic speech, especially with regard to intonation rules affecting the lengthening of long vowels, pose challenges in segmentation especially for Qur’an recitation. This research endeavors to address these challenges by delving into the domain of automatic segmentation for Qur’an recitation recognition. The proposed scheme employs a hidden Markov models (HMMs) forced alignment algorithm. To enhance the precision of segmentation, several refinements have been introduced, with a primary emphasis on the phonetic model of the Qur’an and Tajweed, particularly the intricate rules governing elongation. These enhancements encompass the adaptation of an acoustic model tailored for Qur’anic recitation as preprocessing and culminate in the development of an algorithm aimed at refining forced alignment based on the phonetic nuances of the Qur’an. These enhancements are seamlessly integrated as post-processing components for the classic HMM-based forced alignment. The research utilizes a comprehensive database featuring recordings from 100 renowned Qur’an reciters, encompassing the recitation of 21 Qur’anic verses (Ayat). Additionally, 30 reciters were asked to record the same verses, incorporating various recitation speed patterns. To facilitate the evaluation process, a Random sample of the Qur’anic database was manually segmented, comprised 21 Ayats, totaling 19,800 words, with 89 unique words (14 verses x 3 recitation levels: fast, slow and normal x 6 readers). The outcomes of this study manifest notable advancements in the alignment of long vowels within Qur’an recitation, all while maintaining the precise alignment of vowels and consonants. Objective comparisons between the proposed automatic methods and manual segmentation were conducted to ascertain the superior approach. The findings affirm that the classic forced alignment method produces satisfactory outcomes when employed on verses lacking long vowels. However, its performance diminishes when confronted with verses containing long vowels. Therefore, the test samples were categorized into three groups based on the presence of long vowels, resulting in a Correct Classification Rate (CCR) that ranged from 6% to 57%, contingent on whether the verse includes long vowels or not. The average CCR across all test samples was 23%. In contrast, the proposed algorithm significantly enhances audio segmentation. It achieved CCR values ranging from 16% to 70% within the same database categories, with an average CCR of 45% across all test samples. This marks a notable advancement of 22% in segmented speech accuracy, particularly within a 30 ms tolerance, for verses containing long vowels.","2169-3536","","10.1109/ACCESS.2023.3345843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371319","Phoneme alignment;forced alignment;phoneme segmentation;Arabic phoneme segmentation;phoneme duration;phoneme recognition;recitation recognition;Tajweed recognition","Hidden Markov models;Speech recognition;Phonetics;Speech processing;Manuals;Training;Task analysis","","1","","59","CCBYNCND","22 Dec 2023","","","IEEE","IEEE Journals"
"End-to-End Speech Recognition for Low Resource Language Sanskrit using Self-Supervised Learning","S. S. Holla; T. N. M. Kumar; J. R. Hiretanad; K. T. Deepak; A. V. Narasimhadhan","Department of Electronics and Communication Engineering, National Institute of Technology, Surathkal, Karnataka; Department of Electronics and Communication Engineering, National Institute of Technology, Surathkal, Karnataka; Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Dharwad, Karnataka; Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Dharwad, Karnataka; Department of Electronics and Communication Engineering, National Institute of Technology, Surathkal, Karnataka",2022 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),"9 May 2022","2022","","","148","152","We are presenting the work on building a speaker independent, continuous speech recognition system for Samskruta (also called Sanskrit) using self-supervised learning. We have used a Pre-trained model from the Vakyansh team where the model is trained using 10,000 Hrs of data with 23 Indic languages and Fine-tuned it using a data-set containing nearly 78 Hrs of Samskruta audio along with their transcription taken from Vaksancaya - Sanskrit Speech Corpus from IIT Bombay. Acoustic representations are learned in an end-to-end deep learning approach using the wav2vec2.0 architecture from Fairseq. On top of this acoustic model, a language model is used to increase the overall performance. Our system provides a word error rate (WER) of 5.1 % on test data and 2.4% on train data. Meanwhile we built a graphical user interface in the form of a web page using the Flask framework, which provides an interactive platform for the user to record audio and see the transcription in real-time. To the best of our knowledge, our approach using self-supervised learning, gives better performance compared to the state of the art methods.","","978-1-6654-9648-3","10.1109/WiSPNET54241.2022.9767118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9767118","Samskruta ASR;Self-Supervised Learning;WER;Pretraining;Finetuning","Wireless communication;Deep learning;Error analysis;Web pages;Speech recognition;Signal processing;Data models","","4","","15","IEEE","9 May 2022","","","IEEE","IEEE Conferences"
"Venomave: Targeted Poisoning Against Speech Recognition","H. Aghakhani; L. Schönherr; T. Eisenhofer; D. Kolossa; T. Holz; C. Kruegel; G. Vigna","University of California, Santa Barbara; CISPA Helmholtz Center for Information Security; Ruhr University Bochum; Technische Universität Berlin; CISPA Helmholtz Center for Information Security; University of California, Santa Barbara; University of California, Santa Barbara",2023 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),"1 Jun 2023","2023","","","404","417","Despite remarkable improvements, automatic speech recognition is susceptible to adversarial perturbations. Compared to standard machine learning architectures, these attacks are significantly more challenging, especially since the inputs to a speech recognition system are time series that contain both acoustic and linguistic properties of speech. Extracting all recognition-relevant information requires more complex pipelines and an ensemble of specialized components. Consequently, an attacker needs to consider the entire pipeline. In this paper, we present Venomave, the first training-time poisoning attack against speech recognition. Similar to the predominantly studied evasion attacks, we pursue the same goal: leading the system to an incorrect and attacker-chosen transcription of a target audio waveform. In contrast to evasion attacks, however, we assume that the attacker can only manipulate a small part of the training data without altering the target audio waveform at runtime. We evaluate our attack on two datasets: TIDIGITS and Speech Commands. When poisoning less than 0.17 % of the dataset, Venomave achieves attack success rates of more than 80.0 %, without access to the victim's network architecture or hyperparameters. In a more realistic scenario, when the target audio waveform is played over the air in different rooms, Venomave maintains a success rate of up to 73.3 %. Finally, Venomave achieves an attack transferability rate of 36.4 % between two different model architectures.","","978-1-6654-6299-0","10.1109/SaTML54575.2023.00035","NSF(grant numbers:CNS-2107101); Deutsche Forschungsgemeinschaft(grant numbers:390781972); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10136135","Data Poisoning;Automatic Speech Recognition","Toxicology;Runtime;Perturbation methods;Time series analysis;Pipelines;Training data;Speech recognition","","8","","50","IEEE","1 Jun 2023","","","IEEE","IEEE Conferences"
"Automatic Disfluency Detection From Untranscribed Speech","A. Romana; K. Koishida; E. M. Provost","University of Michigan, Ann Arbor, MI, USA; Microsoft Corporation, Redmond, WA, USA; University of Michigan, Ann Arbor, MI, USA","IEEE/ACM Transactions on Audio, Speech, and Language Processing","5 Nov 2024","2024","32","","4727","4740","Speech disfluencies, such as filled pauses or repetitions, are disruptions in the typical flow of speech. All speakers experience disfluencies at times, and the rate at which we produce disfluencies may be increased by certain speaker or environmental characteristics. Modeling disfluencies has been shown to be useful for a range of downstream tasks, and as a result, disfluency detection has many potential applications. In this work, we investigate language, acoustic, and multimodal methods for frame-level automatic disfluency detection and categorization. Each of these methods relies on audio as an input. First, we evaluate several automatic speech recognition (ASR) systems in terms of their ability to transcribe disfluencies, measured using disfluency error rates. We then use these ASR transcripts as input to a language-based disfluency detection model. We find that disfluency detection performance is largely limited by the quality of transcripts and alignments. We find that an acoustic-based approach that does not require transcription as an intermediate step outperforms the ASR language approach. Finally, we present multimodal architectures which we find improve disfluency detection performance over the unimodal approaches. Ultimately, this work introduces novel approaches for automatic frame-level disfluency and categorization. In the long term, this will help researchers incorporate automatic disfluency detection into a range of applications.","2329-9304","","10.1109/TASLP.2024.3485465","National Science Foundation(grant numbers:NSF IIS-RI 2006618); Advanced Research Computing; Information and Technology Services; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10731569","Automatic disfluency detection;multimodal disfluency detection;frame-level disfluency detection;disfluency categorization;automatic speech recognition","Acoustics;Feature extraction;Location awareness;Speech processing;Bidirectional control;Planning;Encoding;Transformers;Neural networks;Long short term memory","","1","","65","IEEE","23 Oct 2024","","","IEEE","IEEE Journals"
