model,audio_file,phrase,detected_start,detected_end,actual_start,actual_end,condition,speech_category,phrase_position,true_positive,false_positive,detection_made
tiny,p232_011_slow_c.wav,reach,2.9,3.44,2.75,3.3,slow,standard,beginning,True,False,True
large,1-noise.mp4,cheese,2.2,2.6,2.4,2.7,noise,standard,beginning,True,False,True
large,1-noise_echo.mp4,cheese,2.2,2.6,2.4,2.7,noise,standard,beginning,True,False,True
large,1-noise_fast.mp4,cheese,,,1.6,1.9,noise,standard,beginning,False,False,False
large,1-noise_noise.mp4,cheese,,,2.4,2.7,noise,standard,beginning,False,False,False
large,1-noise_slow.mp4,cheese,2.92,3.48,3.2,3.8,noise,standard,middle,True,False,True
large,1.mp4,cheese,1.88,2.32,1.95,2.55,original,standard,beginning,True,False,True
large,1_echo.mp4,cheese,1.88,2.32,1.95,2.55,echo,standard,beginning,True,False,True
large,1_fast.mp4,cheese,1.24,1.54,1.3,1.7,fast,standard,beginning,True,False,True
large,1_noise.mp4,cheese,,,1.95,2.55,noise,standard,beginning,False,False,False
large,1_slow.mp4,cheese,2.48,3.08,2.7,3.4,slow,standard,beginning,True,False,True
large,2-noise.mp4,cheese,4.44,4.82,4.5,5.2,noise,standard,middle,True,False,True
large,2-noise_echo.mp4,cheese,4.44,4.84,4.5,5.2,noise,standard,middle,True,False,True
large,2-noise_fast.mp4,cheese,,,3.0,3.3,noise,standard,middle,False,False,False
large,2-noise_noise.mp4,cheese,,,4.5,5.2,noise,standard,middle,False,False,False
large,2-noise_slow.mp4,cheese,5.84,6.42,6.0,6.8,noise,standard,middle,True,False,True
large,2.mp4,cheese,4.32,4.72,4.7,5.02,original,standard,middle,False,True,True
large,2_echo.mp4,cheese,4.36,4.72,4.7,5.02,echo,standard,middle,False,True,True
large,2_fast.mp4,cheese,2.9,3.16,3.04,3.36,fast,standard,middle,True,False,True
large,2_noise.mp4,cheese,,,4.7,5.02,noise,standard,middle,False,False,False
large,2_slow.mp4,cheese,5.82,6.3,6.2,6.7,slow,standard,middle,True,False,True
large,afrikaans1.mp3,cheese,7.76,8.06,7.9,8.3,original,accent,end,True,False,True
large,afrikaans1_echo.wav,cheese,7.76,8.08,8.02,8.4,echo,accent,end,True,False,True
large,afrikaans1_fast.wav,cheese,5.16,5.38,5.3,5.7,fast,accent,middle,True,False,True
large,afrikaans1_noise.wav,cheese,7.78,8.08,7.9,8.3,noise,accent,end,True,False,True
large,afrikaans1_slow.wav,cheese,10.34,10.74,10.7,11.2,slow,accent,end,False,True,True
large,female1_anxious_14b_1.wav,worried,0.86,1.42,1.3,1.65,original,emotion,beginning,True,False,True
large,female1_anxious_14b_1_echo.wav,worried,0.88,1.42,1.3,1.65,echo,emotion,beginning,True,False,True
large,female1_anxious_14b_1_fast.wav,worried,0.58,0.96,0.8,1.174,fast,emotion,beginning,True,False,True
large,female1_anxious_14b_1_noise.wav,worried,,,1.3,1.65,noise,emotion,beginning,False,False,False
large,female1_anxious_14b_1_slow.wav,worried,1.16,1.88,1.68,2.34,slow,emotion,beginning,True,False,True
large,female1_assertive_14a_2.wav,try,0.42,0.74,0.6,1.07,original,emotion,beginning,True,False,True
large,female1_assertive_14a_2_echo.wav,try,0.42,0.76,0.6,1.07,echo,emotion,beginning,True,False,True
large,female1_assertive_14a_2_fast.wav,try,0.28,0.5,0.488,0.8,fast,emotion,beginning,False,True,True
large,female1_assertive_14a_2_noise.wav,try,,,0.6,1.07,noise,emotion,beginning,False,False,False
large,female1_assertive_14a_2_slow.wav,try,0.56,1.0,1.0,1.6,slow,emotion,beginning,False,True,True
large,female1_encouraging_4b_2.wav,likes,0.52,0.9,0.7,1.16,original,emotion,beginning,True,False,True
large,female1_encouraging_4b_2_echo.wav,likes,0.52,0.92,0.7,1.16,echo,emotion,beginning,True,False,True
large,female1_encouraging_4b_2_fast.wav,likes,0.34,0.6,0.65,0.79,fast,emotion,beginning,False,True,True
large,female1_encouraging_4b_2_noise.wav,likes,,,0.7,1.16,noise,emotion,beginning,False,False,False
large,female1_encouraging_4b_2_slow.wav,likes,0.68,1.2,1.0,1.55,slow,emotion,beginning,True,False,True
large,french1.mp3,cheese,11.14,11.5,11.3,11.8,original,accent,end,True,False,True
large,french1_echo,cheese,11.14,11.48,11.3,11.7,echo,accent,end,True,False,True
large,french1_fast.wav,cheese,7.4,7.64,7.7,8.1,fast,accent,end,False,True,True
large,french1_noise.wav,cheese,,,11.3,11.8,noise,accent,end,False,False,False
large,french1_slow.wav,cheese,14.84,15.3,15.1,15.8,slow,accent,end,True,False,True
large,german1.mp3,cheese,10.76,11.14,10.8,11.2,original,accent,end,True,False,True
large,german1_echo.wav,cheese,10.76,11.14,10.8,11.3,echo,accent,end,True,False,True
large,german1_fast.wav,cheese,7.16,7.44,7.4,7.8,fast,accent,end,False,True,True
large,german1_noise.wav,cheese,10.8,11.12,10.8,11.3,noise,accent,end,True,False,True
large,german1_slow.wav,cheese,14.32,14.84,14.5,15.2,slow,accent,end,True,False,True
large,p232_003.wav,cheese,4.12,4.52,4.35,5.2,original,standard,middle,True,False,True
large,p232_003_c.wav,cheese,4.12,4.54,4.348,4.8,original,standard,middle,True,False,True
large,p232_003_echo.wav,cheese,4.14,4.52,4.35,5.2,echo,standard,middle,True,False,True
large,p232_003_echo_c.wav,cheese,4.14,4.54,4.348,4.8,echo,standard,middle,True,False,True
large,p232_003_fast.wav,cheese,2.74,3.02,2.9,3.3,fast,standard,beginning,True,False,True
large,p232_003_fast_c.wav,cheese,2.74,3.0,2.9,3.2,fast,standard,beginning,True,False,True
large,p232_003_noise.wav,cheese,4.12,4.52,4.35,5.2,noise,standard,middle,True,False,True
large,p232_003_noise_c.wav,cheese,4.12,4.52,4.348,4.8,noise,standard,middle,True,False,True
large,p232_003_slow.wav,cheese,5.5,5.96,5.7,6.5,slow,standard,middle,True,False,True
large,p232_003_slow_c.wav,cheese,5.5,6.0,5.745,6.5,slow,standard,middle,True,False,True
large,p232_005.wav,bags,2.4,2.78,2.43,3.2,original,standard,beginning,True,False,True
large,p232_005_c.wav,bags,2.4,2.78,2.5,3.0,original,standard,beginning,True,False,True
large,p232_005_echo.wav,bags,2.42,2.78,2.43,3.2,echo,standard,beginning,True,False,True
large,p232_005_echo_c.wav,bags,2.42,2.8,2.5,3.0,echo,standard,beginning,True,False,True
large,p232_005_fast.wav,bags,1.62,1.82,1.68,2.0,fast,standard,beginning,True,False,True
large,p232_005_fast_c.wav,bags,1.6,1.82,1.7,2.05,fast,standard,beginning,True,False,True
large,p232_005_noise.wav,bags,2.4,2.76,2.43,3.2,noise,standard,beginning,True,False,True
large,p232_005_noise_c.wav,bags,2.4,2.76,2.5,3.0,noise,standard,beginning,True,False,True
large,p232_005_slow.wav,bags,3.2,3.62,3.3,4.0,slow,standard,middle,True,False,True
large,p232_005_slow_c.wav,bags,3.2,3.6,3.4,4.08,slow,standard,middle,True,False,True
large,p232_011.wav,reach,1.94,2.26,2.071,2.58,original,standard,beginning,True,False,True
large,p232_011_c.wav,reach,1.94,2.26,2.075,2.5,original,standard,beginning,True,False,True
large,p232_011_echo.wav,reach,1.94,2.32,2.071,2.58,echo,standard,beginning,True,False,True
large,p232_011_echo_c.wav,reach,1.94,2.34,2.075,2.5,echo,standard,beginning,True,False,True
large,p232_011_fast.wav,reach,1.28,1.52,1.4,1.66,fast,standard,beginning,True,False,True
large,p232_011_fast_c.wav,reach,1.3,1.52,1.26,1.67,fast,standard,beginning,True,False,True
large,p232_011_noise.wav,reach,1.94,2.26,2.071,2.58,noise,standard,beginning,True,False,True
large,p232_011_noise_c.wav,reach,1.94,2.26,2.075,2.5,noise,standard,beginning,True,False,True
large,p232_011_slow.wav,reach,2.58,3.02,2.75,3.3,slow,standard,beginning,True,False,True
large,p232_011_slow_c.wav,reach,2.58,3.0,2.75,3.3,slow,standard,beginning,True,False,True
